dataset,avg_tokens_per_row,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,635.8967576791808,2.359510432920814,0.9213007889439733
arc-challenge-en,137.41211604095562,4.254963217957911,1.1068374491994912
arc-easy-bn,589.0071548821549,2.360641716160812,0.920334609541752
arc-easy-en,126.96843434343434,4.256391675480218,1.1068397334882047
boolq-bn,1020.8562691131499,2.4099400438683696,0.915351060680562
boolq-en,220.98012232415903,4.2693539232657765,1.126021417119628
commonsenseqa-bn,534.8206388206388,2.337436550896501,0.9254825197642871
commonsenseqa-en,116.1105651105651,4.07682854465237,1.0968490402877384
gsm8k-main-bn,897.8165276724792,2.279339696929592,0.9514978510459231
gsm8k-main-en,186.89613343442002,4.35646968713836,1.1015996509646198
hellaswag-bn,1238.2839148255523,2.406849300140544,0.9119560918554629
hellaswag-en,280.2726182145356,4.1817650071045955,1.0980057384726203
mmlu-bn,825.9294109164323,2.3755157508479665,0.9182503903143296
mmlu-en,183.93553969284014,4.206463071865699,1.1179714510340428
openbookqa-bn,502.182,2.3638738347521993,0.9144959166503522
openbookqa-en,108.15,4.21543989733477,1.0951636003849867
piqa-bn,607.9413099870299,2.4145768047233664,0.9089959287338018
piqa-en,127.56809338521401,4.338772827158188,1.1108613610947837
winogrande-bn,477.7962648556876,2.406162845391181,0.9150148225446507
winogrande-en,96.40860215053763,4.493067160005741,1.1088487470040287
